,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
67,-0.6597,0.144,0.856,0.0,55.4,56.16,56.56,56.91,56.47,56.33,56.79
68,-0.6597,0.144,0.856,0.0,55.4,56.16,56.56,56.91,56.47,56.33,56.79
69,-0.6597,0.138,0.862,0.0,55.4,56.16,56.56,56.91,56.47,56.33,56.79
70,-0.2263,0.07,0.883,0.047,55.4,56.16,56.56,56.91,56.47,56.33,56.79
71,0.4404,0.0,0.873,0.127,57.09,56.56,56.47,56.33,56.79,57.61,56.82
72,-0.4939,0.227,0.608,0.166,56.24,56.47,56.79,57.61,56.82,56.93,57.01
73,-0.4939,0.215,0.628,0.157,56.24,56.47,56.79,57.61,56.82,56.93,57.01
74,-0.4939,0.227,0.608,0.166,56.79,56.33,57.61,56.82,56.93,57.01,57.54
75,0.296,0.0,0.916,0.084,56.79,56.33,57.61,56.82,56.93,57.01,57.54
76,-0.4939,0.215,0.628,0.157,56.79,56.33,57.61,56.82,56.93,57.01,57.54
77,0.3182,0.0,0.85,0.15,56.98,56.82,57.01,57.54,57.49,57.05,58.12
78,0.7506,0.0,0.808,0.192,57.7,57.01,57.49,57.05,58.12,57.53,58.2
79,0.7506,0.0,0.802,0.198,57.7,57.01,57.49,57.05,58.12,57.53,58.2
80,0.8625,0.0,0.639,0.361,57.95,57.54,57.05,58.12,57.53,58.2,58.86
81,0.0,0.0,1.0,0.0,57.95,57.54,57.05,58.12,57.53,58.2,58.86
82,0.0516,0.074,0.845,0.081,57.95,57.54,57.05,58.12,57.53,58.2,58.86
83,0.7717,0.0,0.51,0.49,57.45,58.62,57.34,57.52,58.45,58.64,59.22
84,-0.2732,0.124,0.797,0.08,57.26,57.27,57.52,58.45,58.64,59.22,59.28
85,0.3612,0.112,0.708,0.18,57.28,57.34,58.45,58.64,59.22,59.28,57.67
86,0.3612,0.112,0.708,0.18,57.28,57.34,58.45,58.64,59.22,59.28,57.67
87,0.7351,0.0,0.735,0.265,57.28,57.34,58.45,58.64,59.22,59.28,57.67
88,0.8591,0.0,0.734,0.266,59.28,58.64,59.28,57.67,56.12,55.36,55.95
89,0.0,0.0,1.0,0.0,59.28,58.64,59.28,57.67,56.12,55.36,55.95
90,0.0,0.0,1.0,0.0,58.39,59.28,56.12,55.36,55.95,55.4,55.32
91,0.0,0.0,1.0,0.0,58.39,59.28,56.12,55.36,55.95,55.4,55.32
92,0.0,0.0,1.0,0.0,58.39,59.28,56.12,55.36,55.95,55.4,55.32
93,-0.5719,0.153,0.847,0.0,56.49,57.67,55.36,55.95,55.4,55.32,54.68
94,0.0,0.0,1.0,0.0,56.49,57.67,55.36,55.95,55.4,55.32,54.68
95,0.2263,0.055,0.862,0.083,56.49,57.67,55.36,55.95,55.4,55.32,54.68
96,0.2263,0.052,0.87,0.078,56.49,57.67,55.36,55.95,55.4,55.32,54.68
97,-0.5719,0.153,0.847,0.0,56.49,57.67,55.36,55.95,55.4,55.32,54.68
98,-0.296,0.239,0.761,0.0,56.49,57.67,55.36,55.95,55.4,55.32,54.68
99,0.0,0.0,1.0,0.0,55.58,56.12,55.95,55.4,55.32,54.68,55.33
100,-0.4588,0.145,0.806,0.048,55.58,56.12,55.95,55.4,55.32,54.68,55.33
101,0.0,0.0,1.0,0.0,55.58,56.12,55.95,55.4,55.32,54.68,55.33
102,-0.296,0.155,0.845,0.0,55.58,56.12,55.95,55.4,55.32,54.68,55.33
103,-0.0258,0.087,0.83,0.083,55.58,56.12,55.95,55.4,55.32,54.68,55.33
104,0.296,0.0,0.833,0.167,55.08,55.4,54.68,55.33,55.15,54.62,54.93
105,0.0,0.0,1.0,0.0,55.08,55.4,54.68,55.33,55.15,54.62,54.93
106,-0.0258,0.167,0.669,0.164,53.65,53.6,53.21,53.04,53.0,52.81,52.5
107,-0.0258,0.167,0.669,0.164,53.65,53.6,53.21,53.04,53.0,52.81,52.5
108,-0.296,0.196,0.804,0.0,53.65,53.6,53.21,53.04,53.0,52.81,52.5
109,0.3182,0.1,0.681,0.219,53.65,53.6,53.21,53.04,53.0,52.81,52.5
110,0.0762,0.0,0.96,0.04,53.65,53.6,53.21,53.04,53.0,52.81,52.5
111,0.743,0.029,0.815,0.157,53.24,53.21,53.0,52.81,52.5,52.66,52.61
112,0.4939,0.0,0.714,0.286,53.17,53.0,52.5,52.66,52.61,52.67,52.89
113,0.0,0.0,1.0,0.0,53.01,52.81,52.66,52.61,52.67,52.89,52.79
114,0.5994,0.076,0.708,0.215,53.22,52.66,52.67,52.89,52.79,53.39,55.35
115,0.296,0.0,0.784,0.216,53.22,52.66,52.67,52.89,52.79,53.39,55.35
116,-0.5859,0.134,0.866,0.0,53.22,52.66,52.67,52.89,52.79,53.39,55.35
117,0.2732,0.0,0.923,0.077,53.13,52.79,55.35,56.52,56.32,56.53,56.47
118,0.2732,0.0,0.92,0.08,53.13,52.79,55.35,56.52,56.32,56.53,56.47
119,-0.2755,0.174,0.826,0.0,53.13,52.79,55.35,56.52,56.32,56.53,56.47
120,0.7579,0.0,0.745,0.255,53.13,52.79,55.35,56.52,56.32,56.53,56.47
121,0.4019,0.0,0.769,0.231,53.13,52.79,55.35,56.52,56.32,56.53,56.47
122,-0.3182,0.142,0.763,0.095,54.64,53.39,56.52,56.32,56.53,56.47,56.68
123,-0.3182,0.142,0.763,0.095,54.64,53.39,56.52,56.32,56.53,56.47,56.68
124,0.0,0.0,1.0,0.0,56.32,55.35,56.32,56.53,56.47,56.68,56.5
125,0.0,0.0,1.0,0.0,56.32,55.35,56.32,56.53,56.47,56.68,56.5
126,0.0,0.0,1.0,0.0,57.36,57.2,57.38,56.66,56.92,56.81,57.04
127,0.0,0.0,1.0,0.0,57.47,56.92,57.04,56.8,57.81,57.55,58.35
128,0.2263,0.0,0.944,0.056,57.16,56.81,56.8,57.81,57.55,58.35,58.52
129,0.0,0.0,1.0,0.0,57.16,56.81,56.8,57.81,57.55,58.35,58.52
130,0.0,0.0,1.0,0.0,57.93,56.8,57.55,58.35,58.52,58.22,58.46
131,0.296,0.0,0.804,0.196,55.63,56.49,54.93,54.0,52.88,52.89,53.27
132,0.0,0.0,1.0,0.0,55.43,55.48,54.0,52.88,52.89,53.27,52.88
133,0.0,0.0,1.0,0.0,54.39,53.61,54.05,56.9,55.0,54.88,62.88
134,-0.5574,0.153,0.752,0.095,54.65,54.24,56.9,55.0,54.88,62.88,64.44
135,-0.5574,0.153,0.752,0.095,54.65,54.24,56.9,55.0,54.88,62.88,64.44
136,-0.5574,0.146,0.763,0.091,54.65,54.24,56.9,55.0,54.88,62.88,64.44
137,0.0,0.0,1.0,0.0,54.65,54.24,56.9,55.0,54.88,62.88,64.44
138,0.0,0.0,1.0,0.0,54.65,54.24,56.9,55.0,54.88,62.88,64.44
