GOOG,Alphabet Inc,20171017,Alphabet to develop high-tech waterfront site in Toronto ,TORONTO Canada has tapped Google parent Alphabet Inc to help plan a mixed-use development along Toronto's Lake Ontario waterfront using cutting-edge digital technologies and urban design.,topStory
GOOG,Alphabet Inc,20171017,UPDATE 3-Alphabet to develop high-tech waterfront site in Toronto ,TORONTO  Oct 17 Canada has tapped Google parent Alphabet Inc to help plan a mixed-use development along Toronto's Lake Ontario waterfront using cutting-edge digital technologies and urban design.,normal
GOOG,Alphabet Inc,20171017,Google launches advanced Gmail security features for high-risk users ,Oct 17 Alphabet's Google Inc said on Tuesday that it would roll out an advanced protection program in order to provide stronger security for some users such as government officials and journalists who are at a higher risk of being targeted by hackers.,normal
GOOG,Alphabet Inc,20171013,Fidelity tests virtual reality for customer service training ,NEW YORK  Oct 13 Fidelity Investments is testing virtual reality technology to train customer service representatives in its call centers across the United States.,normal
GOOG,Alphabet Inc,20171009,Alphabet launches U.S. ad campaign to promote driverless car safety ,WASHINGTON Alphabet Inc's self-driving car unit Waymo and several groups are launching a campaign aimed at convincing skeptical Americans of what they say is the value and safety of driverless cars  as Congress considers how it will regulate the technology.,topStory
GOOG,Alphabet Inc,20171009,Alphabet launches U.S. ad campaign to promote driverless car safety ,WASHINGTON  Oct 9 Alphabet Inc's self-driving car unit Waymo and several groups are launching a campaign aimed at convincing skeptical Americans of what they say is the value and safety of driverless cars  as Congress considers how it will regulate the technology.,normal
GOOG,Alphabet Inc,20171007,Google to use balloons to provide Puerto Rico cell service ,WASHINGTON  Oct 6 The U.S. Federal Communications Commission said late on Friday it had approved Alphabet Inc's application to provide emergency cellular service to Puerto Rico through its Project Loon balloons.,topStory
GOOG,Alphabet Inc,20171007,UPDATE 1-Google to use balloons to provide Puerto Rico cell service ,WASHINGTON  Oct 6 The U.S. Federal Communications Commission said late on Friday it had approved Alphabet Inc's application to provide emergency cellular service to Puerto Rico through balloons.,normal
GOOG,Alphabet Inc,20171005,Social media executives to testify Nov. 1 about Russia and U.S. election ,WASHINGTON Executives from Facebook Inc   Twitter Inc  and Alphabet Inc's  Google have been asked to testify about Russian meddling in the 2016 U.S. election before a House of Representatives panel on Nov. 1  a congressional aide said on Thursday.,topStory
GOOG,Alphabet Inc,20171005,Social media executives to testify Nov. 1 about Russia and U.S. election ,WASHINGTON  Oct 5 Executives from Facebook Inc   Twitter Inc and Alphabet Inc's Google have been asked to testify about Russian meddling in the 2016 U.S. election before a House of Representatives panel on Nov. 1  a congressional aide said on Thursday.,normal
